filed,accession,form,subject_cik,subject_name,filer_cik,filer_name,tracked,url
2026-09-25,0000904853-26-000006,SCHEDULE 13D,0000930236,REDWOOD TRUST INC,0000904853,Amster Howard,,https://www.sec.gov/Archives/edgar/data/930236/000090485326000006/0000904853-26-000006-index.htm
2026-09-25,0001140361-26-037699,SCHEDULE 13D,0000037785,FMC CORP,0002150441,Tessenderlo Group NV,,https://www.sec.gov/Archives/edgar/data/37785/000114036126037699/0001140361-26-037699-index.htm
2026-09-25,0001539497-26-002605,SCHEDULE 13D/A,0000813762,ICAHN ENTERPRISES L.P.,0000921669,ICAHN CARL C,Carl Icahn,https://www.sec.gov/Archives/edgar/data/813762/000153949726002605/0001539497-26-002605-index.htm
